source_id,bp_min_flux,bp_max_flux,rp_min_flux,rp_max_flux,percentage_change
10655814178816,23.783341359526982,157841.99293824387,35.634526749900566,1566.8893953334514,663566.1794160243701
10892037246720,203.7002183789311,666.4385312062207,332.5918636164385,661.7290497218023,227.1663312439291166
15839839588736,179.80847648669302,565.9195169576299,111.95147593099163,671.3312987769585,499.6627495923108588
19275813399552,34.02680785137934,239.26417513702086,8.198801099945838,11236.402065216063,136949.3310941558475
22780506725760,75.33150799381947,304.6773642303852,118.3205387820823,600.4341735442558,407.4640292587829919
26766236385280,3.6499098505063756,157.52497656511244,37.746839711686704,143.42065826214417,4215.859377821564036
27148489078656,6744.084189401032,2580701.8351892126,14383.163368739783,14782.504022243547,38166.15686745177827
31026843960576,29.754275998438153,3494.1952080402216,84.56252086616954,2442.6764913129473,11643.50607026579036
35115652874752,216.95782225755664,1964.6771754469462,157.90989682391827,590.4531529201743,805.5571977094347436
45389214407424,37.07165489371378,466.6970011640816,147.75257692556983,113816.80624099834,76932.02787341801106
46316927345664,35.30606011782175,142154.5489629225,24.828505399391346,191347.7719565911,770577.7708870138479
46626164993792,20.447115905403084,629.0693994178927,89.70851679406678,126567.95301324311,140988.0009350619109
47931835055360,97.57525916406625,273.71707841792534,129.63808918331705,397.1147379762848,206.3256643768774073
50714973862784,5.550171348138021,670.4756828719804,.4333077694381282,124.1006766719537,28540.30728848354371
56075093274240,26.48752420802368,665.3979649732017,85.02581551477711,760.3962382630226,2412.118383535586764
56453050406784,32.16151642277229,97108.18658084757,63.96239517270085,87402.45265842663,301839.0793155795578
56732223835904,19805.049196884273,163336.95814578485,39548.86346133083,401730.63430927927,915.7830065131305925
58377195752192,118.7904028025972,242.46129708645614,135.8235491086782,346.6478754163459,155.2192736025313161
60473139811072,390.8304625578643,866.2051497770594,451.4686147166314,165033.92872700814,36454.90622102120343
77756088174464,53.64837269522298,897.5318481765153,39.98740475129915,4170.703725984049,10330.04353976872452
83116207389824,3366.3358329386438,4604.998634627163,3147.0422646125394,6875.856124234452,118.4862974848226361
84456237175680,17.945729410803672,216.80111242504773,29.882141615665706,184.8424202382616,1108.093064718390983
88751204298752,20.770487781007255,168.5463116278011,31.18052721397029,214.7535464857264,711.4701657701152273
91018947429120,34.36153826416117,269.46499361589173,20.280479201849356,549.0236188788542,2607.153087530541694
99265284449920,39.42448410003866,215.37055369922982,84.8606487642413,2348.6407094491765,2667.644065477437215
100605314265600,28.65200226810431,182.39545041996047,35.43389348550102,329.20781794023253,829.0760499546545193
104487964717440,222.85919604066922,799.041851706525,1285.166027739685,162347.29036302958,12532.3982161714601
105896713928960,138.37403918174954,1002.6563856147164,103.97897132850241,1407.159657494467,1253.311770173995298
